song_no,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
65,0.434,0.802,8,-5.217,1,0.0704,0.0076,6.08E-06,0.346,0.573,161.882,3xOxcB3QJxw15nbUluPe61,256667,4
66,0.497,0.322,8,-10.358,1,0.0333,0.0194,7.72E-06,0.115,0.04,106.976,5nIu0VwPOsjkF61zfevLKh,326947,4
67,0.605,0.469,9,-3.182,0,0.327,0.487,0,0.28,0.515,101.601,1gqkRc9WtOpnGIqxf2Hvzr,156480,4
68,0.51,0.532,4,-7.405,0,0.0715,0.0367,0.000794,0.165,0.305,111.885,0HMCdlOPJkAGlB0MlSWIcO,231507,4
69,0.506,0.59,1,-4.322,1,0.076,0.165,1.09E-05,0.096,0.359,141.099,4cAgkb0ifwn0FSHGXnr4F6,256093,4
70,0.613,0.832,8,-9.187,1,0.0281,0.388,0.95,0.0865,0.48,164.876,4cucslsiEgezV2o900Ykg3,399027,4
71,0.583,0.883,11,-3.702,0,0.235,0.00227,0,0.0443,0.669,124.872,1zw1YeQW9VO4KUgvjevHFa,159723,4
72,0.706,0.46,1,-9.061,1,0.0296,0.847,0.00796,0.106,0.23,102.984,6iWEhoALoBFnQMNVhYY0Sc,219013,4
73,0.509,0.267,6,-13.017,1,0.0287,0.843,0.0124,0.136,0.22,149.849,4u42LckHYKddjPpUySqHnJ,283708,3
74,0.69,0.225,1,-12.791,0,0.0295,0.953,0.343,0.101,0.319,79.977,3OlI9RO07e6H4l8hMi8QqG,190500,4
75,0.597,0.407,1,-10.724,1,0.0333,0.861,0.00104,0.109,0.128,139.911,09zStCx7w4uqigVByP5dji,237409,4
76,0.431,0.387,3,-9.158,0,0.045,0.899,0.0017,0.111,0.397,79.615,2lvFoilK7HKnTAOfIbA7iZ,194327,4
77,0.513,0.638,8,-7.685,0,0.041,0.504,0.0221,0.0995,0.153,119.815,6Eos3ejwtcIinRuYDF1jim,228000,4
78,0.513,0.637,11,-4.846,1,0.0322,0.425,0,0.139,0.456,140.065,2wOV3arHuKLog44jQvONty,206250,4
79,0.609,0.38,6,-8.801,1,0.0324,0.907,0.000114,0.166,0.231,77.024,0BNmpxxtfAZKa2im1oaIyC,216706,4
80,0.535,0.503,9,-7.182,1,0.052,0.759,0.000127,0.0954,0.173,145.511,5DqkPFOMg32YFTNGaffQAE,228396,4
81,0.492,0.716,5,-9.592,1,0.0323,0.0239,0.291,0.371,0.132,126.967,4W5ZiER2saVe1uo7bNTWbE,271133,4
82,0.67,0.477,0,-7.774,1,0.0308,0.0932,0,0.414,0.662,140.029,2PFnwW05Wh0MYkfZxSwfuf,125052,4
83,0.576,0.759,3,-8.165,1,0.0599,0.12,0,0.121,0.501,99.969,0vf2eBw2inhl8y61cYQMv2,179955,4
84,0.587,0.724,6,-6.775,1,0.0321,0.618,0.000166,0.157,0.837,106.994,65j65yDSE06CNKAPjsHoJt,220588,4
85,0.811,0.266,7,-12.478,1,0.0406,0.56,1.05E-06,0.0962,0.211,130.044,7s8VgA8OjvwBUuigKzEGBx,226073,4
86,0.509,0.478,4,-10.051,1,0.0392,0.185,1.40E-06,0.0891,0.323,139.926,3Yvk0ZLxMlt6ioasvdN6vB,272903,4
87,0.486,0.528,1,-11.722,1,0.0463,0.00387,1.40E-05,0.106,0.452,178.519,6suYoN4gFkanqOBn5yRnJC,329050,4
88,0.626,0.323,4,-9.607,1,0.0339,0.667,0,0.0605,0.234,130.082,3znD2JTezT8ZLkp2pmft2l,277327,4
89,0.776,0.625,6,-12.561,1,0.0396,0.622,0.896,0.086,0.865,122.072,4UkCtBCYh6VMsucGMQZyh9,194733,4
90,0.582,0.199,10,-10.045,1,0.0321,0.953,0.00852,0.135,0.0783,66.454,1MONUudxAjEk76FJvzGhuD,240294,4
91,0.574,0.604,1,-9.933,0,0.0863,0.268,2.98E-06,0.139,0.181,179.636,6H167kbd8gY2Eewzf14YjD,181772,4
92,0.668,0.547,1,-8.024,1,0.0353,0.398,0.0766,0.0931,0.192,83.5,6zvqq50PL7io0rprbkrYc9,194871,4
93,0.678,0.685,10,-9.439,1,0.0472,0.384,0.736,0.099,0.637,173.104,4UiogCfzKQW98U1GTCivsn,166883,4
94,0.448,0.72,7,-3.954,1,0.0332,0.0427,0.000292,0.614,0.361,157.919,3AkdSFo7quCZ781KCqNK0T,195000,3
95,0.552,0.638,1,-7.474,1,0.11,0.387,0.00014,0.374,0.332,167.834,0rOLFkjY5DSIViVBNnzOuK,180019,4
96,0.719,0.369,1,-9.12,0,0.193,0.472,0.0572,0.102,0.364,150.076,5dl8x4xLEzZC0f927WBTUG,182400,4
97,0.484,0.632,5,-6.917,1,0.0976,0.695,0.0243,0.209,0.0736,126.384,0HItcI6qN6Dr4MC3CZryQh,214558,3
98,0.678,0.418,0,-11.393,0,0.0985,0.895,0.0313,0.137,0.587,159.867,5xNNJKrjobta5ksOpMLYd1,89917,4
99,0.48,0.373,10,-9.297,1,0.0278,0.804,0.067,0.12,0.0376,114.078,7xcUWyLh6fIMsYjoVI7NnZ,207710,4
100,0.781,0.613,4,-5.582,0,0.0524,0.0399,0.00713,0.0976,0.613,80.53,5E7p95xh9Ul4vZp4LEoJwi,132215,4
101,0.738,0.533,7,-7.617,1,0.0492,0.183,0.000252,0.115,0.262,132.008,5SjtAe7xzUgHDtNTmt8zS7,207265,4
102,0.603,0.783,6,-4.023,1,0.062,0.449,7.96E-06,0.119,0.775,172.041,37y7iDayfwm3WXn5BiAoRk,173104,4
103,0.528,0.749,7,-7.571,1,0.0479,0.00488,9.60E-05,0.0949,0.729,163.944,6Ed1q0X8oSKSm4IIhiQbYg,163906,4
