,Artist,Title,id
118,The Monkees,Daydream Believer,7uEcCGtM1FBBGIhPozhJjv
119,Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",1hQFF33xi8ruavZNyovtUN
120,Billy Joel,The Longest Time,5DH7nDryMhpixm4G4B7RP9
121,War,Why Can't We Be Friends?,413T0g8pNNXYX6t5RqHvx7
122,Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",0iOZM63lendWRTTeKhZBSC
123,The Beach Boys,Kokomo,1CnMKxIztQzO9DM9qADbP8
124,Rupert Holmes,Escape (The Pina Colada Song),5IMtdHjJ1OtkxbGe4zfUxQ
125,Ella Fitzgerald,Cheek To Cheek,33jt3kYWjQzqn3xyYQ5ZEh
126,Paul Anka,Put Your Head on My Shoulder,7eqNATKM78MkWP6aHGXHEV
127,Dean Martin,Everybody Loves Somebody,5I9sHwLDX28tLtzVgKLtpr
128,Louis Armstrong,When You're Smiling (The Whole World Smiles With You) - Without Intro,0aAdPAlrBJqqqkkhttZIKU
129,Jimmy Durante,"Smile (From United Artists Film ""Modern Times"")",7M18i7KC9A1mTrQVPY9hKy
