,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
357,0.514,0.712,2,-7.281,1,0.334,0.428,8.77E-06,0.112,0.487,76.393,audio_features,7piU1yHaKMD9PaOPvEymOr,spotify:track:7piU1yHaKMD9PaOPvEymOr,https://api.spotify.com/v1/tracks/7piU1yHaKMD9PaOPvEymOr,https://api.spotify.com/v1/audio-analysis/7piU1yHaKMD9PaOPvEymOr,155893,4
358,0.642,0.356,0,-10.909,1,0.0407,0.405,0.00597,0.112,0.191,118.04,audio_features,2iFiwkAEBPtQKk8xmHFJwN,spotify:track:2iFiwkAEBPtQKk8xmHFJwN,https://api.spotify.com/v1/tracks/2iFiwkAEBPtQKk8xmHFJwN,https://api.spotify.com/v1/audio-analysis/2iFiwkAEBPtQKk8xmHFJwN,203136,4
359,0.753,0.749,1,-6.132,0,0.316,0.0285,0,0.0845,0.832,93.79,audio_features,3gRlmtdCyNoKiyozn2pqc9,spotify:track:3gRlmtdCyNoKiyozn2pqc9,https://api.spotify.com/v1/tracks/3gRlmtdCyNoKiyozn2pqc9,https://api.spotify.com/v1/audio-analysis/3gRlmtdCyNoKiyozn2pqc9,246440,4
360,0.766,0.851,5,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012,audio_features,4Vqd7MuPVrciqRS3EzhKWb,spotify:track:4Vqd7MuPVrciqRS3EzhKWb,https://api.spotify.com/v1/tracks/4Vqd7MuPVrciqRS3EzhKWb,https://api.spotify.com/v1/audio-analysis/4Vqd7MuPVrciqRS3EzhKWb,213787,4
361,0.553,0.57,6,-7.82,0,0.422,0.0514,0.000102,0.424,0.454,140.162,audio_features,0nh1o1936u4X7MaatN56j8,spotify:track:0nh1o1936u4X7MaatN56j8,https://api.spotify.com/v1/tracks/0nh1o1936u4X7MaatN56j8,https://api.spotify.com/v1/audio-analysis/0nh1o1936u4X7MaatN56j8,326280,4
362,0.655,0.628,7,-6.409,1,0.277,0.00661,0,0.576,0.293,94.011,audio_features,5UVHpkmh3Mfcm2N6fIw69f,spotify:track:5UVHpkmh3Mfcm2N6fIw69f,https://api.spotify.com/v1/tracks/5UVHpkmh3Mfcm2N6fIw69f,https://api.spotify.com/v1/audio-analysis/5UVHpkmh3Mfcm2N6fIw69f,163387,4
363,0.7,0.776,10,-6.819,0,0.268,0.274,0,0.12,0.573,89.433,audio_features,3fDFeNKwHAVtmhE9Q6KmoS,spotify:track:3fDFeNKwHAVtmhE9Q6KmoS,https://api.spotify.com/v1/tracks/3fDFeNKwHAVtmhE9Q6KmoS,https://api.spotify.com/v1/audio-analysis/3fDFeNKwHAVtmhE9Q6KmoS,234790,4
364,0.639,0.957,2,-7.864,0,0.385,0.00831,0.853,0.203,0.187,95.033,audio_features,3HdrN4xHTPhxQGdTSo2spQ,spotify:track:3HdrN4xHTPhxQGdTSo2spQ,https://api.spotify.com/v1/tracks/3HdrN4xHTPhxQGdTSo2spQ,https://api.spotify.com/v1/audio-analysis/3HdrN4xHTPhxQGdTSo2spQ,81880,4
365,0.358,0.889,1,-8.045,1,0.335,0.266,1.46E-05,0.172,0.666,85.61,audio_features,1Y2ExJJ9Dmb9po8K0ybSj3,spotify:track:1Y2ExJJ9Dmb9po8K0ybSj3,https://api.spotify.com/v1/tracks/1Y2ExJJ9Dmb9po8K0ybSj3,https://api.spotify.com/v1/audio-analysis/1Y2ExJJ9Dmb9po8K0ybSj3,130480,4
366,0.321,0.807,4,-9.876,0,0.568,0.723,0,0.466,0.561,89.811,audio_features,72Pf3VRjCGRpnhCthX2oYk,spotify:track:72Pf3VRjCGRpnhCthX2oYk,https://api.spotify.com/v1/tracks/72Pf3VRjCGRpnhCthX2oYk,https://api.spotify.com/v1/audio-analysis/72Pf3VRjCGRpnhCthX2oYk,111667,4
