,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
955,0.317,0.846,0,-3.624,1,0.0538,0.0146,0.13,0.1,0.198,129.01,audio_features,6SmV1Oo24nCZBPzIYkL4HZ,spotify:track:6SmV1Oo24nCZBPzIYkL4HZ,https://api.spotify.com/v1/tracks/6SmV1Oo24nCZBPzIYkL4HZ,https://api.spotify.com/v1/audio-analysis/6SmV1Oo24nCZBPzIYkL4HZ,287907,4
956,0.337,0.511,0,-6.645,1,0.0372,0.799,0.567,0.297,0.27,122.91,audio_features,7r7yAFxq6CwakQB5NrJskh,spotify:track:7r7yAFxq6CwakQB5NrJskh,https://api.spotify.com/v1/tracks/7r7yAFxq6CwakQB5NrJskh,https://api.spotify.com/v1/audio-analysis/7r7yAFxq6CwakQB5NrJskh,265107,4
957,0.679,0.604,0,-7.431,0,0.0316,0.416,0.692,0.165,0.857,122.051,audio_features,41AAlcWHEcqRJIoltPPuCG,spotify:track:41AAlcWHEcqRJIoltPPuCG,https://api.spotify.com/v1/tracks/41AAlcWHEcqRJIoltPPuCG,https://api.spotify.com/v1/audio-analysis/41AAlcWHEcqRJIoltPPuCG,200160,4
958,0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009,audio_features,5naar7XewEOAjOywIp6Jjq,spotify:track:5naar7XewEOAjOywIp6Jjq,https://api.spotify.com/v1/tracks/5naar7XewEOAjOywIp6Jjq,https://api.spotify.com/v1/audio-analysis/5naar7XewEOAjOywIp6Jjq,155147,4
959,0.622,0.517,7,-7.639,1,0.102,0.726,0.0,0.103,0.636,90.118,audio_features,2Ei2K3i4KTNlV63uEUaxIf,spotify:track:2Ei2K3i4KTNlV63uEUaxIf,https://api.spotify.com/v1/tracks/2Ei2K3i4KTNlV63uEUaxIf,https://api.spotify.com/v1/audio-analysis/2Ei2K3i4KTNlV63uEUaxIf,208493,4
960,0.713,0.475,6,-4.436,0,0.0659,0.0608,7.55e-06,0.156,0.33,87.022,audio_features,2qhId6ko1ug9A0mw8BQJs8,spotify:track:2qhId6ko1ug9A0mw8BQJs8,https://api.spotify.com/v1/tracks/2qhId6ko1ug9A0mw8BQJs8,https://api.spotify.com/v1/audio-analysis/2qhId6ko1ug9A0mw8BQJs8,192547,4
961,0.536,0.979,6,-2.683,1,0.216,0.00661,0.834,0.0537,0.696,170.073,audio_features,6ok2GhsEqnJEDNrb01gCYc,spotify:track:6ok2GhsEqnJEDNrb01gCYc,https://api.spotify.com/v1/tracks/6ok2GhsEqnJEDNrb01gCYc,https://api.spotify.com/v1/audio-analysis/6ok2GhsEqnJEDNrb01gCYc,225882,4
962,0.713,0.169,11,-11.818,0,0.0751,0.672,0.0,0.229,0.39,100.051,audio_features,7cGnJMxQbHzNa2dGATzRBL,spotify:track:7cGnJMxQbHzNa2dGATzRBL,https://api.spotify.com/v1/tracks/7cGnJMxQbHzNa2dGATzRBL,https://api.spotify.com/v1/audio-analysis/7cGnJMxQbHzNa2dGATzRBL,134400,4
963,0.761,0.475,1,-9.947,1,0.184,0.572,3.18e-06,0.288,0.588,123.146,audio_features,5rLWMBn0WRD8vMV1guhW7i,spotify:track:5rLWMBn0WRD8vMV1guhW7i,https://api.spotify.com/v1/tracks/5rLWMBn0WRD8vMV1guhW7i,https://api.spotify.com/v1/audio-analysis/5rLWMBn0WRD8vMV1guhW7i,219063,4
964,0.861,0.553,1,-8.975,0,0.0552,0.142,0.00378,0.0526,0.657,99.992,audio_features,3iQJh5VBC9WYAQqpEwJEkA,spotify:track:3iQJh5VBC9WYAQqpEwJEkA,https://api.spotify.com/v1/tracks/3iQJh5VBC9WYAQqpEwJEkA,https://api.spotify.com/v1/audio-analysis/3iQJh5VBC9WYAQqpEwJEkA,216800,4
965,0.62,0.714,11,-7.225,0,0.0382,0.039,7.58e-06,0.142,0.189,94.945,audio_features,3jtcHIVCPoFx2m7mpyjMND,spotify:track:3jtcHIVCPoFx2m7mpyjMND,https://api.spotify.com/v1/tracks/3jtcHIVCPoFx2m7mpyjMND,https://api.spotify.com/v1/audio-analysis/3jtcHIVCPoFx2m7mpyjMND,212760,4
966,0.651,0.775,7,-10.414,1,0.0311,0.0129,0.582,0.257,0.515,115.077,audio_features,6ATI93pUXq1BWMmDSmeH3A,spotify:track:6ATI93pUXq1BWMmDSmeH3A,https://api.spotify.com/v1/tracks/6ATI93pUXq1BWMmDSmeH3A,https://api.spotify.com/v1/audio-analysis/6ATI93pUXq1BWMmDSmeH3A,202656,4
967,0.702,0.537,7,-11.715,0,0.0306,0.0951,0.00031,0.126,0.582,107.392,audio_features,1gV1kl0v2aUGHz1qNJGOQJ,spotify:track:1gV1kl0v2aUGHz1qNJGOQJ,https://api.spotify.com/v1/tracks/1gV1kl0v2aUGHz1qNJGOQJ,https://api.spotify.com/v1/audio-analysis/1gV1kl0v2aUGHz1qNJGOQJ,195971,4
968,0.281,0.183,7,-12.106,1,0.0301,0.941,0.0,0.126,0.123,80.548,audio_features,2OLFswvObC0P4EJ2WQDbnH,spotify:track:2OLFswvObC0P4EJ2WQDbnH,https://api.spotify.com/v1/tracks/2OLFswvObC0P4EJ2WQDbnH,https://api.spotify.com/v1/audio-analysis/2OLFswvObC0P4EJ2WQDbnH,251544,4
969,0.209,0.726,7,-9.71,1,0.0716,0.00131,0.0,0.125,0.281,96.841,audio_features,7IL3875OwWngZFteW72kuU,spotify:track:7IL3875OwWngZFteW72kuU,https://api.spotify.com/v1/tracks/7IL3875OwWngZFteW72kuU,https://api.spotify.com/v1/audio-analysis/7IL3875OwWngZFteW72kuU,322000,3
970,0.613,0.445,1,-10.8,1,0.0447,0.197,0.0,0.104,0.271,143.122,audio_features,0pScCjHo4HMxpkg0RrRZof,spotify:track:0pScCjHo4HMxpkg0RrRZof,https://api.spotify.com/v1/tracks/0pScCjHo4HMxpkg0RrRZof,https://api.spotify.com/v1/audio-analysis/0pScCjHo4HMxpkg0RrRZof,204000,4
971,0.646,0.525,8,-10.85,0,0.0355,0.0303,2.54e-05,0.199,0.537,98.013,audio_features,1fl11MwbGc9URTibEqvtgK,spotify:track:1fl11MwbGc9URTibEqvtgK,https://api.spotify.com/v1/tracks/1fl11MwbGc9URTibEqvtgK,https://api.spotify.com/v1/audio-analysis/1fl11MwbGc9URTibEqvtgK,251000,4
972,0.658,0.623,0,-6.934,1,0.0398,0.0683,0.0,0.321,0.207,100.436,audio_features,312WNtMs3F28cUukaPY9bo,spotify:track:312WNtMs3F28cUukaPY9bo,https://api.spotify.com/v1/tracks/312WNtMs3F28cUukaPY9bo,https://api.spotify.com/v1/audio-analysis/312WNtMs3F28cUukaPY9bo,250747,4
973,0.496,0.448,11,-8.806,1,0.039,0.762,0.0,0.159,0.288,121.08,audio_features,2xJm4cbh7xZaAtW6llvL4W,spotify:track:2xJm4cbh7xZaAtW6llvL4W,https://api.spotify.com/v1/tracks/2xJm4cbh7xZaAtW6llvL4W,https://api.spotify.com/v1/audio-analysis/2xJm4cbh7xZaAtW6llvL4W,213030,4
974,0.685,0.773,0,-7.202,1,0.0841,0.266,0.0393,0.0782,0.711,126.017,audio_features,0TeHvhaNBSuv7yGQ9dLouv,spotify:track:0TeHvhaNBSuv7yGQ9dLouv,https://api.spotify.com/v1/tracks/0TeHvhaNBSuv7yGQ9dLouv,https://api.spotify.com/v1/audio-analysis/0TeHvhaNBSuv7yGQ9dLouv,266920,4
975,0.228,0.919,10,-7.953,1,0.317,0.000491,3.24e-05,0.0878,0.696,176.192,audio_features,5FI3HtW6HGrQ0LCOBMbNo3,spotify:track:5FI3HtW6HGrQ0LCOBMbNo3,https://api.spotify.com/v1/tracks/5FI3HtW6HGrQ0LCOBMbNo3,https://api.spotify.com/v1/audio-analysis/5FI3HtW6HGrQ0LCOBMbNo3,269686,4
976,0.336,0.744,3,-7.664,0,0.045,0.00306,0.283,0.0848,0.438,101.032,audio_features,6kcZkB58jWLZL9WYUeZS4E,spotify:track:6kcZkB58jWLZL9WYUeZS4E,https://api.spotify.com/v1/tracks/6kcZkB58jWLZL9WYUeZS4E,https://api.spotify.com/v1/audio-analysis/6kcZkB58jWLZL9WYUeZS4E,271054,4
977,0.532,0.352,8,-12.011,1,0.0313,0.0849,0.235,0.111,0.268,108.967,audio_features,5Tme4C3BDMrwWKOBXBDtdJ,spotify:track:5Tme4C3BDMrwWKOBXBDtdJ,https://api.spotify.com/v1/tracks/5Tme4C3BDMrwWKOBXBDtdJ,https://api.spotify.com/v1/audio-analysis/5Tme4C3BDMrwWKOBXBDtdJ,249947,4
978,0.454,0.583,2,-6.596,1,0.133,0.321,1.06e-05,0.332,0.216,89.134,audio_features,4VM8y5Tx6UBxzfuLvYrhFf,spotify:track:4VM8y5Tx6UBxzfuLvYrhFf,https://api.spotify.com/v1/tracks/4VM8y5Tx6UBxzfuLvYrhFf,https://api.spotify.com/v1/audio-analysis/4VM8y5Tx6UBxzfuLvYrhFf,178550,4
979,0.767,0.512,6,-6.777,1,0.0591,0.893,0.000223,0.103,0.489,123.921,audio_features,1Ob94QesoxHSBrypyBbdfd,spotify:track:1Ob94QesoxHSBrypyBbdfd,https://api.spotify.com/v1/tracks/1Ob94QesoxHSBrypyBbdfd,https://api.spotify.com/v1/audio-analysis/1Ob94QesoxHSBrypyBbdfd,207107,4
980,0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,audio_features,7sPt2cfrg7DrVP52zfvS1i,spotify:track:7sPt2cfrg7DrVP52zfvS1i,https://api.spotify.com/v1/tracks/7sPt2cfrg7DrVP52zfvS1i,https://api.spotify.com/v1/audio-analysis/7sPt2cfrg7DrVP52zfvS1i,211493,4
981,0.488,0.487,4,-6.371,1,0.0307,0.577,0.0,0.193,0.217,77.344,audio_features,6KkyuDhrEhR5nJVKtv9mCf,spotify:track:6KkyuDhrEhR5nJVKtv9mCf,https://api.spotify.com/v1/tracks/6KkyuDhrEhR5nJVKtv9mCf,https://api.spotify.com/v1/audio-analysis/6KkyuDhrEhR5nJVKtv9mCf,230267,4
982,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,audio_features,1fDsrQ23eTAVFElUMaf38X,spotify:track:1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X,516893,4
983,0.773,0.558,0,-16.376,1,0.0425,0.25,0.35,0.0827,0.933,127.519,audio_features,65aJGPXs2i8orwZK9z8x4r,spotify:track:65aJGPXs2i8orwZK9z8x4r,https://api.spotify.com/v1/tracks/65aJGPXs2i8orwZK9z8x4r,https://api.spotify.com/v1/audio-analysis/65aJGPXs2i8orwZK9z8x4r,215360,4
984,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,audio_features,0C80GCp0mMuBzLf3EAXqxv,spotify:track:0C80GCp0mMuBzLf3EAXqxv,https://api.spotify.com/v1/tracks/0C80GCp0mMuBzLf3EAXqxv,https://api.spotify.com/v1/audio-analysis/0C80GCp0mMuBzLf3EAXqxv,317427,4
985,0.496,0.771,4,-11.938,0,0.0528,0.188,0.00929,0.0788,0.24,100.298,audio_features,0vI64OhYqTo6KYswDlx0yT,spotify:track:0vI64OhYqTo6KYswDlx0yT,https://api.spotify.com/v1/tracks/0vI64OhYqTo6KYswDlx0yT,https://api.spotify.com/v1/audio-analysis/0vI64OhYqTo6KYswDlx0yT,370667,4
986,0.513,0.877,8,-3.756,1,0.0292,0.000932,0.000163,0.136,0.389,145.919,audio_features,3hb2ScEVkGchcAQqrPLP0R,spotify:track:3hb2ScEVkGchcAQqrPLP0R,https://api.spotify.com/v1/tracks/3hb2ScEVkGchcAQqrPLP0R,https://api.spotify.com/v1/audio-analysis/3hb2ScEVkGchcAQqrPLP0R,258920,4
