,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1562,0.498,0.777,5,-6.904,1,0.0424,0.00193,0,0.254,0.486,89.967,audio_features,55QVNnLD7LeAToBotul8VX,spotify:track:55QVNnLD7LeAToBotul8VX,https://api.spotify.com/v1/tracks/55QVNnLD7LeAToBotul8VX,https://api.spotify.com/v1/audio-analysis/55QVNnLD7LeAToBotul8VX,234520,4
1563,0.573,0.767,4,-5.811,1,0.0357,0.374,0.139,0.225,0.477,128.008,audio_features,7fE5PFt7j1aNGdCEM89qxN,spotify:track:7fE5PFt7j1aNGdCEM89qxN,https://api.spotify.com/v1/tracks/7fE5PFt7j1aNGdCEM89qxN,https://api.spotify.com/v1/audio-analysis/7fE5PFt7j1aNGdCEM89qxN,278868,4
1564,0.733,0.663,5,-5.766,1,0.0322,0.101,6.98E-06,0.0694,0.53,127.974,audio_features,7oekneJCJO74ycdLzdk16v,spotify:track:7oekneJCJO74ycdLzdk16v,https://api.spotify.com/v1/tracks/7oekneJCJO74ycdLzdk16v,https://api.spotify.com/v1/audio-analysis/7oekneJCJO74ycdLzdk16v,215493,4
1565,0.649,0.718,0,-6.593,0,0.0261,0.142,0.0713,0.124,0.718,101.034,audio_features,2EWpa5XnAuSn0sIkSSIhYk,spotify:track:2EWpa5XnAuSn0sIkSSIhYk,https://api.spotify.com/v1/tracks/2EWpa5XnAuSn0sIkSSIhYk,https://api.spotify.com/v1/audio-analysis/2EWpa5XnAuSn0sIkSSIhYk,274093,4
1566,0.597,0.848,0,-5.841,1,0.0308,0.0372,2.33E-05,0.122,0.437,128.009,audio_features,5fgb3Md1xjt3mxeBqguiIA,spotify:track:5fgb3Md1xjt3mxeBqguiIA,https://api.spotify.com/v1/tracks/5fgb3Md1xjt3mxeBqguiIA,https://api.spotify.com/v1/audio-analysis/5fgb3Md1xjt3mxeBqguiIA,214080,4
1567,0.381,0.844,5,-7.123,1,0.144,0.0131,0,0.318,0.239,194,audio_features,1MSM3Fo2fvnwVqMcz8Jhjq,spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq,https://api.spotify.com/v1/tracks/1MSM3Fo2fvnwVqMcz8Jhjq,https://api.spotify.com/v1/audio-analysis/1MSM3Fo2fvnwVqMcz8Jhjq,223880,4
1568,0.594,0.477,10,-9.514,1,0.0331,0.223,2.79E-06,0.0929,0.283,141.993,audio_features,6eLUwUJbXC9E94RuP5Qg4Y,spotify:track:6eLUwUJbXC9E94RuP5Qg4Y,https://api.spotify.com/v1/tracks/6eLUwUJbXC9E94RuP5Qg4Y,https://api.spotify.com/v1/audio-analysis/6eLUwUJbXC9E94RuP5Qg4Y,170678,4
1569,0.642,0.808,0,-6.406,1,0.0463,0.0383,0.00829,0.547,0.273,97.565,audio_features,6ZrlXT6mUMEgomN128iekU,spotify:track:6ZrlXT6mUMEgomN128iekU,https://api.spotify.com/v1/tracks/6ZrlXT6mUMEgomN128iekU,https://api.spotify.com/v1/audio-analysis/6ZrlXT6mUMEgomN128iekU,241640,4
1570,0.623,0.292,7,-12.26,0,0.0313,0.698,9.86E-06,0.121,0.161,118.007,audio_features,6AQ3guMjWgetjRpQASwrE5,spotify:track:6AQ3guMjWgetjRpQASwrE5,https://api.spotify.com/v1/tracks/6AQ3guMjWgetjRpQASwrE5,https://api.spotify.com/v1/audio-analysis/6AQ3guMjWgetjRpQASwrE5,210925,4
1571,0.486,0.356,9,-13.649,1,0.0318,0.755,0.861,0.0986,0.111,117.141,audio_features,6x6XKEUcCJGUACD4Xh7KuP,spotify:track:6x6XKEUcCJGUACD4Xh7KuP,https://api.spotify.com/v1/tracks/6x6XKEUcCJGUACD4Xh7KuP,https://api.spotify.com/v1/audio-analysis/6x6XKEUcCJGUACD4Xh7KuP,256282,4
1572,0.595,0.267,0,-14.936,0,0.0325,0.511,0.0363,0.075,0.0388,115.228,audio_features,6VzUsdXk0h0vDrimW972q8,spotify:track:6VzUsdXk0h0vDrimW972q8,https://api.spotify.com/v1/tracks/6VzUsdXk0h0vDrimW972q8,https://api.spotify.com/v1/audio-analysis/6VzUsdXk0h0vDrimW972q8,236719,4
1573,0.636,0.597,8,-6.884,0,0.0279,0.118,0.00283,0.124,0.639,84.979,audio_features,1J5rHMEvQFpM07iLULi48A,spotify:track:1J5rHMEvQFpM07iLULi48A,https://api.spotify.com/v1/tracks/1J5rHMEvQFpM07iLULi48A,https://api.spotify.com/v1/audio-analysis/1J5rHMEvQFpM07iLULi48A,201398,4
1574,0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303,audio_features,57i3M29DWoo7RDk0Tf0LZG,spotify:track:57i3M29DWoo7RDk0Tf0LZG,https://api.spotify.com/v1/tracks/57i3M29DWoo7RDk0Tf0LZG,https://api.spotify.com/v1/audio-analysis/57i3M29DWoo7RDk0Tf0LZG,171333,4
1575,0.696,0.693,3,-4.64,1,0.044,0.175,0,0.122,0.601,126.025,audio_features,3JJYIoJ5FyY9E0DGjr7SXF,spotify:track:3JJYIoJ5FyY9E0DGjr7SXF,https://api.spotify.com/v1/tracks/3JJYIoJ5FyY9E0DGjr7SXF,https://api.spotify.com/v1/audio-analysis/3JJYIoJ5FyY9E0DGjr7SXF,194755,4
1576,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,audio_features,5bJ1DrEM4hNCafcDd1oxHx,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx,345133,4
1577,0.794,0.668,6,-8.363,1,0.323,0.131,0.00037,0.113,0.634,86.929,audio_features,5vxII6AxXbPsAJE5dAdBo9,spotify:track:5vxII6AxXbPsAJE5dAdBo9,https://api.spotify.com/v1/tracks/5vxII6AxXbPsAJE5dAdBo9,https://api.spotify.com/v1/audio-analysis/5vxII6AxXbPsAJE5dAdBo9,289600,4
1578,0.492,0.144,7,-10.125,1,0.0708,0.965,1.84E-06,0.161,0.274,164.839,audio_features,1PfUKiMDKIlPEF9FfdJawc,spotify:track:1PfUKiMDKIlPEF9FfdJawc,https://api.spotify.com/v1/tracks/1PfUKiMDKIlPEF9FfdJawc,https://api.spotify.com/v1/audio-analysis/1PfUKiMDKIlPEF9FfdJawc,324302,3
1579,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,audio_features,5itOtNx0WxtJmi1TQ3RuRd,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,https://api.spotify.com/v1/tracks/5itOtNx0WxtJmi1TQ3RuRd,https://api.spotify.com/v1/audio-analysis/5itOtNx0WxtJmi1TQ3RuRd,229184,4
1580,0.501,0.568,4,-7.968,0,0.0331,0.217,1.64E-05,0.094,0.236,88.904,audio_features,2KDR0VRWbQ88LQ1cdi8T3z,spotify:track:2KDR0VRWbQ88LQ1cdi8T3z,https://api.spotify.com/v1/tracks/2KDR0VRWbQ88LQ1cdi8T3z,https://api.spotify.com/v1/audio-analysis/2KDR0VRWbQ88LQ1cdi8T3z,207531,4
